i,j,dm32_no,precision,bf,log10_bf,sigma,rmse,rmse_sigma,frac_rmse,frac_sigma
6,11,2.277419,0.483871,-84.738848,-1.928083,-2.522170,0.967719,0.661639,0.011420,0.262329
6,12,2.277419,0.509677,-81.317863,-1.910186,-2.507815,0.826461,0.601500,0.010163,0.239850
6,13,2.277419,0.535484,-77.896508,-1.891518,-2.492777,0.705846,0.544323,0.009061,0.218360
6,14,2.277419,0.561290,-74.493226,-1.872117,-2.477080,0.602888,0.490368,0.008093,0.197962
6,15,2.277419,0.587097,-71.125149,-1.852023,-2.460748,0.515132,0.439901,0.007243,0.178767
6,16,2.277419,0.612903,-67.807733,-1.831279,-2.443806,0.440508,0.393162,0.006496,0.160881
6,17,2.277419,0.638710,-64.554576,-1.809927,-2.426281,0.377223,0.350319,0.005843,0.144385
6,18,2.277419,0.664516,-61.377368,-1.788008,-2.408199,0.323689,0.311442,0.005274,0.129326
6,19,2.277419,0.690323,-58.285938,-1.765564,-2.389585,0.278490,0.276489,0.004778,0.115706
6,20,2.277419,0.716129,-55.288345,-1.742634,-2.370466,0.240367,0.245314,0.004348,0.103488
6,21,2.277419,0.741935,-52.391001,-1.719257,-2.350867,0.208218,0.217697,0.003974,0.092603
6,22,2.277419,0.767742,-49.598809,-1.695471,-2.330811,0.181094,0.193365,0.003651,0.082961
6,23,2.277419,0.793548,-46.915302,-1.671315,-2.310325,0.158187,0.172025,0.003372,0.074459
6,24,2.277419,0.819355,-44.342779,-1.646823,-2.289433,0.138819,0.153375,0.003131,0.066993
6,25,2.277419,0.845161,-41.882441,-1.622032,-2.268158,0.122419,0.137124,0.002923,0.060456
6,26,2.277419,0.870968,-39.534523,-1.596977,-2.246526,0.108508,0.122992,0.002745,0.054748
6,27,2.277419,0.896774,-37.298409,-1.571690,-2.224561,0.096680,0.110714,0.002592,0.049769
6,28,2.277419,0.922581,-35.172757,-1.546206,-2.202286,0.086590,0.100042,0.002462,0.045427
6,29,2.277419,0.948387,-33.155602,-1.520557,-2.179726,0.077945,0.090750,0.002351,0.041634
6,30,2.277419,0.974194,-31.244460,-1.494773,-2.156905,0.070498,0.082631,0.002256,0.038310
6,31,2.277419,1.000000,-29.436421,-1.468885,-2.133846,0.064040,0.075503,0.002176,0.035384
7,0,2.290323,0.200000,-69.112097,-1.839554,-2.450574,0.952137,0.655324,0.013777,0.267417
7,1,2.290323,0.225806,-67.717063,-1.830698,-2.443330,0.840263,0.607679,0.012408,0.248709
7,2,2.290323,0.251613,-66.214804,-1.820955,-2.435343,0.731363,0.556924,0.011045,0.228684
7,3,2.290323,0.277419,-64.607172,-1.810281,-2.426572,0.629855,0.505011,0.009749,0.208117
7,4,2.290323,0.303226,-62.903271,-1.798673,-2.417009,0.538365,0.453706,0.008559,0.187714
7,5,2.290323,0.329032,-61.116775,-1.786160,-2.406670,0.458047,0.404495,0.007495,0.168072
7,6,2.290323,0.354839,-59.263012,-1.772784,-2.395584,0.389066,0.358581,0.006565,0.149684
7,7,2.290323,0.380645,-57.357081,-1.758587,-2.383779,0.330918,0.316845,0.005769,0.132917
7,8,2.290323,0.406452,-55.412996,-1.743612,-2.371284,0.282659,0.279801,0.005101,0.117996
7,9,2.290323,0.432258,-53.443474,-1.727895,-2.358122,0.243078,0.247586,0.004548,0.104993
7,10,2.290323,0.458065,-51.460008,-1.711470,-2.344314,0.210845,0.220002,0.004097,0.093845
7,11,2.290323,0.483871,-49.473016,-1.694368,-2.329879,0.184638,0.196601,0.003732,0.084382
7,12,2.290323,0.509677,-47.491973,-1.676620,-2.314835,0.163228,0.176786,0.003437,0.076371
7,13,2.290323,0.535484,-45.525499,-1.658255,-2.299200,0.145550,0.159922,0.003197,0.069555
7,14,2.290323,0.561290,-43.581412,-1.639301,-2.282991,0.130739,0.145422,0.003000,0.063698
7,15,2.290323,0.587097,-41.666764,-1.619790,-2.266228,0.118133,0.132804,0.002835,0.058602
7,16,2.290323,0.612903,-39.787850,-1.599750,-2.248928,0.107257,0.121704,0.002696,0.054117
7,17,2.290323,0.638710,-37.950228,-1.579214,-2.231111,0.097778,0.111864,0.002576,0.050138
7,18,2.290323,0.664516,-36.158724,-1.558213,-2.212798,0.089464,0.103102,0.002474,0.046593
7,19,2.290323,0.690323,-34.417443,-1.536779,-2.194010,0.082145,0.095282,0.002387,0.043428
7,20,2.290323,0.716129,-32.729796,-1.514943,-2.174770,0.075680,0.088293,0.002312,0.040599
7,21,2.290323,0.741935,-31.098524,-1.492740,-2.155099,0.069948,0.082028,0.002249,0.038062
7,22,2.290323,0.767742,-29.525730,-1.470201,-2.135022,0.064836,0.076387,0.002196,0.035778
7,23,2.290323,0.793548,-28.012923,-1.447358,-2.114561,0.060242,0.071273,0.002151,0.033706
7,24,2.290323,0.819355,-26.561061,-1.424245,-2.093741,0.056077,0.066600,0.002111,0.031809
7,25,2.290323,0.845161,-25.170600,-1.400894,-2.072586,0.052266,0.062293,0.002076,0.030055
7,26,2.290323,0.870968,-23.841544,-1.377334,-2.051121,0.048750,0.058292,0.002045,0.028419
7,27,2.290323,0.896774,-22.573495,-1.353599,-2.029371,0.045483,0.054552,0.002015,0.026881
7,28,2.290323,0.922581,-21.365704,-1.329717,-2.007360,0.042433,0.051039,0.001986,0.025426
7,29,2.290323,0.948387,-20.217115,-1.305719,-1.985114,0.039577,0.047733,0.001958,0.024045
7,30,2.290323,0.974194,-19.126417,-1.281634,-1.962658,0.036900,0.044617,0.001929,0.022733
7,31,2.290323,1.000000,-18.092079,-1.257488,-1.940016,0.034391,0.041681,0.001901,0.021485
8,0,2.303226,0.200000,-37.882299,-1.578436,-2.230434,0.134490,0.149127,0.003550,0.066860
8,1,2.303226,0.225806,-37.175786,-1.570260,-2.223314,0.113979,0.128589,0.003066,0.057837
8,2,2.303226,0.251613,-36.418895,-1.561327,-2.215519,0.101391,0.115634,0.002784,0.052193
8,3,2.303226,0.277419,-35.612554,-1.551603,-2.207015,0.094894,0.108839,0.002665,0.049315
